Time,sensor,lonE,latE
1655430480000,ICK,-153.2983519548551,-71.43355123011625
1655430510000,ICK,-157.33714294452815,-72.68944076254839
1655430540000,ICK,-161.99072971572846,-73.86108605464455
1655430570000,ICK,-165.2650821966279,-74.92055101398158
1655430600000,ICK,-126.96588070824872,-75.83791493669617
1655430630000,ICK,11.231682525086336,-76.58901830737138
1655430660000,ICK,156.49409720489774,-77.14520677878559
1655430690000,ICK,163.89762502154053,-77.47190545446718
1655430720000,ICK,155.39441446038967,-77.55173288216504
1655430750000,ICK,146.91699169635038,-77.37843108588937
1655430780000,ICK,138.9020904474493,-76.96493761096185
1655430810000,ICK,131.55274206070735,-76.33456319656624
1655430840000,ICK,,