measurement,device,temptype,celcius,fahrenheit,datetime
sensors,1,ambient,-17.22,1,2023-07-18 16:52:45.600
sensors,2,ambient,-16.67,2,2023-07-18 16:51:45.600
sensors,3,ambient,-16.11,3,2023-07-18 16:50:45.600
sensors,4,ambient,-15.56,4,2023-07-18 16:49:45.600
sensors,5,ambient,-15.00,5,2023-07-18 16:48:45.600
sensors,6,ambient,-14.44,6,2023-07-18 16:47:45.600
sensors,7,ambient,-13.89,7,2023-07-18 16:46:45.600
sensors,8,ambient,-13.33,8,2023-07-18 16:45:45.600
sensors,9,ambient,-12.78,9,2023-07-18 16:44:45.600
sensors,10,ambient,-12.22,10,2023-07-18 16:43:45.600
sensors,11,ambient,-11.67,11,2023-07-18 16:42:45.600
sensors,12,ambient,-11.11,12,2023-07-18 16:41:45.600
sensors,13,ambient,-10.56,13,2023-07-18 16:40:45.600
sensors,14,ambient,-10.00,14,2023-07-18 16:39:45.600
sensors,15,ambient,-9.44,15,2023-07-18 16:38:45.600
sensors,16,ambient,-8.89,16,2023-07-18 16:37:45.600
sensors,17,ambient,-8.33,17,2023-07-18 16:36:45.600
sensors,18,ambient,-7.78,18,2023-07-18 16:35:45.600
sensors,19,ambient,-7.22,19,2023-07-18 16:34:45.600
sensors,20,ambient,-6.67,20,2023-07-18 16:33:45.600
sensors,21,ambient,-6.11,21,2023-07-18 16:32:45.600
sensors,22,ambient,-5.56,22,2023-07-18 16:31:45.600
sensors,23,ambient,-5.00,23,2023-07-18 16:30:45.600
sensors,24,ambient,-4.44,24,2023-07-18 16:29:45.600
sensors,25,ambient,-3.89,25,2023-07-18 16:28:45.600
sensors,26,ambient,-3.33,26,2023-07-18 16:27:45.600
sensors,27,ambient,-2.78,27,2023-07-18 16:26:45.600
sensors,28,ambient,-2.22,28,2023-07-18 16:25:45.600
sensors,29,ambient,-1.67,29,2023-07-18 16:24:45.600
sensors,30,ambient,-1.11,30,2023-07-18 16:23:45.600
sensors,31,ambient,-0.56,31,2023-07-18 16:22:45.600
sensors,32,ambient,0.00,32,2023-07-18 16:21:45.600
sensors,33,ambient,0.56,33,2023-07-18 16:20:45.600
sensors,34,ambient,1.11,34,2023-07-18 16:19:45.600
sensors,35,ambient,1.67,35,2023-07-18 16:18:45.600
sensors,36,ambient,2.22,36,2023-07-18 16:17:45.600
sensors,37,ambient,2.78,37,2023-07-18 16:16:45.600
sensors,38,ambient,3.33,38,2023-07-18 16:15:45.600
sensors,39,ambient,3.89,39,2023-07-18 16:14:45.600
sensors,40,ambient,4.44,40,2023-07-18 16:13:45.600
sensors,41,ambient,5.00,41,2023-07-18 16:12:45.600
sensors,42,ambient,5.56,42,2023-07-18 16:11:45.600
sensors,43,ambient,6.11,43,2023-07-18 16:10:45.600
sensors,44,ambient,6.67,44,2023-07-18 16:09:45.600
sensors,45,ambient,7.22,45,2023-07-18 16:08:45.600
sensors,46,ambient,7.78,46,2023-07-18 16:07:45.600
sensors,47,ambient,8.33,47,2023-07-18 16:06:45.600
sensors,48,ambient,8.89,48,2023-07-18 16:05:45.600
sensors,49,ambient,9.44,49,2023-07-18 16:04:45.600
sensors,50,ambient,10.00,50,2023-07-18 16:03:45.600
sensors,51,ambient,10.56,51,2023-07-18 16:02:45.600
sensors,52,ambient,11.11,52,2023-07-18 16:01:45.600
sensors,53,ambient,11.67,53,2023-07-18 16:00:45.600
sensors,54,ambient,12.22,54,2023-07-18 15:59:45.600
sensors,55,ambient,12.78,55,2023-07-18 15:58:45.600
sensors,56,ambient,13.33,56,2023-07-18 15:57:45.600
sensors,57,ambient,13.89,57,2023-07-18 15:56:45.600
sensors,58,ambient,14.44,58,2023-07-18 15:55:45.600
sensors,59,ambient,15.00,59,2023-07-18 15:54:45.600
sensors,60,ambient,15.56,60,2023-07-18 15:53:45.600
sensors,61,ambient,16.11,61,2023-07-18 15:52:45.600
sensors,62,ambient,16.67,62,2023-07-18 15:51:45.600
sensors,63,ambient,17.22,63,2023-07-18 15:50:45.600
sensors,64,ambient,17.78,64,2023-07-18 15:49:45.600
sensors,65,ambient,18.33,65,2023-07-18 15:48:45.600
sensors,66,ambient,18.89,66,2023-07-18 15:47:45.600
sensors,67,ambient,19.44,67,2023-07-18 15:46:45.600
sensors,68,ambient,20.00,68,2023-07-18 15:45:45.600
sensors,69,ambient,20.56,69,2023-07-18 15:44:45.600
sensors,70,ambient,21.11,70,2023-07-18 15:43:45.600
sensors,71,ambient,21.67,71,2023-07-18 15:42:45.600
sensors,72,ambient,22.22,72,2023-07-18 15:41:45.600
sensors,73,ambient,22.78,73,2023-07-18 15:40:45.600
sensors,74,ambient,23.33,74,2023-07-18 15:39:45.600
sensors,75,ambient,23.89,75,2023-07-18 15:38:45.600
sensors,76,ambient,24.44,76,2023-07-18 15:37:45.600
sensors,77,ambient,25.00,77,2023-07-18 15:36:45.600
sensors,78,ambient,25.56,78,2023-07-18 15:35:45.600
sensors,79,ambient,26.11,79,2023-07-18 15:34:45.600
sensors,80,ambient,26.67,80,2023-07-18 15:33:45.600
sensors,81,ambient,27.22,81,2023-07-18 15:32:45.600
sensors,82,ambient,27.78,82,2023-07-18 15:31:45.600
sensors,83,ambient,28.33,83,2023-07-18 15:30:45.600
sensors,84,ambient,28.89,84,2023-07-18 15:29:45.600
sensors,85,ambient,29.44,85,2023-07-18 15:28:45.600
sensors,86,ambient,30.00,86,2023-07-18 15:27:45.600
sensors,87,ambient,30.56,87,2023-07-18 15:26:45.600
sensors,88,ambient,31.11,88,2023-07-18 15:25:45.600
sensors,89,ambient,31.67,89,2023-07-18 15:24:45.600
sensors,90,ambient,32.22,90,2023-07-18 15:23:45.600
sensors,91,ambient,32.78,91,2023-07-18 15:22:45.600
sensors,92,ambient,33.33,92,2023-07-18 15:21:45.600
sensors,93,ambient,33.89,93,2023-07-18 15:20:45.600
sensors,94,ambient,34.44,94,2023-07-18 15:19:45.600
sensors,95,ambient,35.00,95,2023-07-18 15:18:45.600
sensors,96,ambient,35.56,96,2023-07-18 15:17:45.600
sensors,97,ambient,36.11,97,2023-07-18 15:16:45.600
sensors,98,ambient,36.67,98,2023-07-18 15:15:45.600
sensors,99,ambient,37.22,99,2023-07-18 15:14:45.600
sensors,100,ambient,37.78,100,2023-07-18 15:13:45.600
